index_type,query,time,size_bytes,rows
no_index,equality_search,7804850.4,0,
no_index,fulltext_search,311359541.8,0,
no_index,range_search,6535033.4,0,
no_index,insert_benchmark,32761834.0,0,5000.0
no_index,insert_benchmark,68946000.0,0,10000.0
btree,equality_search,2019908.2,745472,
btree,fulltext_search,306067324.8,745472,
btree,range_search,6082750.0,745472,
btree,insert_benchmark,38295500.0,745472,5000.0
btree,insert_benchmark,78311292.0,745472,10000.0
hash,equality_search,2267625.0,5849088,
hash,fulltext_search,307887500.0,5849088,
hash,range_search,6507208.6,5849088,
hash,insert_benchmark,33858208.0,5849088,5000.0
hash,insert_benchmark,69313791.0,5849088,10000.0
gin,equality_search,7252625.4,6103040,
gin,fulltext_search,307032658.4,6103040,
gin,range_search,6432800.0,6103040,
gin,insert_benchmark,53452292.0,6103040,5000.0
gin,insert_benchmark,108624250.0,6103040,10000.0
gist,equality_search,8800466.6,5349376,
gist,fulltext_search,306346399.8,5349376,
gist,range_search,6093541.6,5349376,
gist,insert_benchmark,90039541.0,5349376,5000.0
gist,insert_benchmark,197701792.0,5349376,10000.0
brin,equality_search,8132791.6,24576,
brin,fulltext_search,307050883.0,24576,
brin,range_search,418891.6,24576,
brin,insert_benchmark,32636333.0,24576,5000.0
brin,insert_benchmark,67021500.0,24576,10000.0
